campaign,pair,phase,arm,case,iterations,ns_per_op,bytes_per_op,allocs_per_op
pilot-02,5,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,188,3093938,3810891,18
pilot-02,5,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,52,11850134,32155096,19
pilot-02,5,measured,baseline,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,159,3632127,3147144,18
pilot-02,5,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,4604,128729,67233,16
pilot-02,5,measured,baseline,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,440,1246845,1726254,39
pilot-02,5,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,1794,335084,848550,18
pilot-02,5,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,637,878732,1701901,18
pilot-02,5,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,207,2832771,3667811,18
pilot-02,5,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,57,10211135,28435563,20
pilot-02,5,measured,candidate,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,152,3750697,3635430,18
pilot-02,5,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,4620,128859,67232,16
pilot-02,5,measured,candidate,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,441,1271119,1880634,40
pilot-02,5,measured,baseline,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,873,650494,1083740,10
pilot-02,5,measured,candidate,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,877,658175,1081277,10
pilot-02,5,measured,baseline,BenchmarkCPUGPTTrainingStep/direct-12,32,63525879,380277372,2741
pilot-02,5,measured,candidate,BenchmarkCPUGPTTrainingStep/direct-12,37,59737191,368494153,2733
pilot-02,6,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,1537,331138,846840,18
pilot-02,6,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,595,870807,1641674,18
pilot-02,6,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,186,3084959,4026616,18
pilot-02,6,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,49,11287817,30571368,19
pilot-02,6,measured,baseline,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,163,3725606,3147144,18
pilot-02,6,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,4647,128062,67122,16
pilot-02,6,measured,baseline,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,423,1267717,1778657,40
pilot-02,6,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,1533,332747,867896,18
pilot-02,6,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,654,792793,1694423,18
pilot-02,6,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,228,2507117,3749632,18
pilot-02,6,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,58,9574690,28883092,19
pilot-02,6,measured,candidate,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,163,3650349,3147144,18
pilot-02,6,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,4647,128263,67096,16
pilot-02,6,measured,candidate,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,440,1270667,1769212,40
pilot-02,6,measured,baseline,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,877,655169,1097591,10
pilot-02,6,measured,candidate,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,876,647665,1070988,10
pilot-02,6,measured,baseline,BenchmarkCPUGPTTrainingStep/direct-12,37,59080119,391787059,2754
pilot-02,6,measured,candidate,BenchmarkCPUGPTTrainingStep/direct-12,37,60132024,388084693,2751
pilot-02,7,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,1558,341838,853444,18
pilot-02,7,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,595,873607,1654396,18
pilot-02,7,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,188,3101759,3849934,18
pilot-02,7,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,49,11315378,28923607,19
pilot-02,7,measured,baseline,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,162,3674181,3147144,18
pilot-02,7,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,4665,128854,67120,16
pilot-02,7,measured,baseline,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,436,1456716,1758777,40
pilot-02,7,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,1562,332818,852207,18
pilot-02,7,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,646,797778,1718891,18
pilot-02,7,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,228,2559384,3763430,18
pilot-02,7,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,62,9285243,28508118,19
pilot-02,7,measured,candidate,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,163,3638425,3147144,18
pilot-02,7,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,4586,129850,67125,16
pilot-02,7,measured,candidate,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,434,1257979,1781261,40
pilot-02,7,measured,baseline,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,789,714193,1096580,10
pilot-02,7,measured,candidate,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,812,714289,1090929,10
pilot-02,7,measured,baseline,BenchmarkCPUGPTTrainingStep/direct-12,37,60261661,368094777,2732
pilot-02,7,measured,candidate,BenchmarkCPUGPTTrainingStep/direct-12,36,57730983,388374705,2752
confirmation-01,0,warmup,baseline,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,5301,480210,857149,18
confirmation-01,0,warmup,baseline,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,2611,959144,1630010,18
confirmation-01,0,warmup,baseline,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,723,3069298,3318303,18
confirmation-01,0,warmup,baseline,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,192,12039882,10045153,18
confirmation-01,0,warmup,baseline,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,654,3729589,3147144,18
confirmation-01,0,warmup,baseline,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,18878,127005,66989,16
confirmation-01,0,warmup,baseline,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,1666,1346545,1694620,39
confirmation-01,0,warmup,candidate,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,6349,384050,857470,18
confirmation-01,0,warmup,candidate,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,2742,776943,1610424,18
confirmation-01,0,warmup,candidate,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,912,2458877,3316180,18
confirmation-01,0,warmup,candidate,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,258,10302480,8274338,18
confirmation-01,0,warmup,candidate,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,546,4077560,3278820,18
confirmation-01,0,warmup,candidate,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,18246,130046,66964,16
confirmation-01,0,warmup,candidate,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,1284,1885893,1670323,39
confirmation-01,0,warmup,baseline,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,3225,726366,1097124,10
confirmation-01,0,warmup,candidate,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,3231,715890,1121957,10
confirmation-01,0,warmup,baseline,BenchmarkCPUGPTTrainingStep/direct-12,33,109146693,379581377,2743
confirmation-01,0,warmup,candidate,BenchmarkCPUGPTTrainingStep/direct-12,33,65018672,389644107,2751
confirmation-01,1,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,6526,350231,851008,18
confirmation-01,1,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,2179,951990,1662451,18
confirmation-01,1,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,742,3039470,3382856,18
confirmation-01,1,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,207,11387872,8886451,18
confirmation-01,1,measured,baseline,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,621,3862061,3161971,18
confirmation-01,1,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,18598,124646,66999,16
confirmation-01,1,measured,baseline,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,1660,1624723,1694986,39
confirmation-01,1,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,6026,335508,851769,18
confirmation-01,1,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,2672,780044,1612045,18
confirmation-01,1,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,913,2529714,3310252,18
confirmation-01,1,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,234,9635037,8874000,18
confirmation-01,1,measured,candidate,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,649,4233648,3147144,18
confirmation-01,1,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,19136,128543,66981,16
confirmation-01,1,measured,candidate,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,1654,1291642,1703618,39
confirmation-01,1,measured,baseline,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,3457,654885,1082839,10
confirmation-01,1,measured,candidate,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,3184,655934,1098660,10
confirmation-01,1,measured,baseline,BenchmarkCPUGPTTrainingStep/direct-12,37,60322717,380470011,2744
confirmation-01,1,measured,candidate,BenchmarkCPUGPTTrainingStep/direct-12,37,59333009,387245245,2750
confirmation-01,2,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,6177,333328,857873,18
confirmation-01,2,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,2359,861282,1637651,18
confirmation-01,2,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,751,3010653,3302148,18
confirmation-01,2,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,198,11731883,9076001,18
confirmation-01,2,measured,baseline,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,638,3784525,3160292,18
confirmation-01,2,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,18501,127607,66997,16
confirmation-01,2,measured,baseline,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,1726,1299140,1694208,39
confirmation-01,2,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,7244,333948,847215,18
confirmation-01,2,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,2601,778686,1619990,18
confirmation-01,2,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,919,2479146,3320097,18
confirmation-01,2,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,254,9640173,7878120,18
confirmation-01,2,measured,candidate,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,632,4093849,3166696,18
confirmation-01,2,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,20362,130015,66999,16
confirmation-01,2,measured,candidate,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,1671,1445302,1704376,39
confirmation-01,2,measured,baseline,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,3145,703004,1086137,10
confirmation-01,2,measured,candidate,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,3495,669891,1083346,10
confirmation-01,2,measured,baseline,BenchmarkCPUGPTTrainingStep/direct-12,33,60932114,379730097,2744
confirmation-01,2,measured,candidate,BenchmarkCPUGPTTrainingStep/direct-12,39,58301500,388144857,2750
confirmation-01,3,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,5476,451087,845893,18
confirmation-01,3,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,2404,872829,1644385,18
confirmation-01,3,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,766,3037368,3342618,18
confirmation-01,3,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,206,11489943,10047054,18
confirmation-01,3,measured,baseline,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,642,3825135,3147144,18
confirmation-01,3,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,18782,128038,67018,16
confirmation-01,3,measured,baseline,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,1687,1361799,1724490,39
confirmation-01,3,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,7225,331322,853423,18
confirmation-01,3,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,2608,1023658,1687885,18
