revision,campaign,pair,phase,arm,case,iterations,ns_per_op,bytes_per_op,allocs_per_op
candidate1,2,4,measured,candidate,BenchmarkGemmAMXGeneration/m32_k64_n32-12,259539,2362,288,4
candidate1,2,4,measured,candidate,BenchmarkGemmAMXGeneration/m64_k64_n64-12,96608,6302,288,4
candidate1,2,4,measured,candidate,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9475,60612,289,4
candidate1,2,4,measured,candidate,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,614,947174,296,4
candidate1,2,4,measured,candidate,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5243622,308,4
candidate1,2,4,measured,baseline,BenchmarkGemmAMXGeneration/m32_k64_n32-12,259579,2334,272,4
candidate1,2,4,measured,baseline,BenchmarkGemmAMXGeneration/m64_k64_n64-12,97077,6401,272,4
candidate1,2,4,measured,baseline,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9547,60741,273,4
candidate1,2,4,measured,baseline,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,628,965544,283,4
candidate1,2,4,measured,baseline,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5113084,292,4
candidate1,2,5,measured,baseline,BenchmarkGemmAMXGeneration/m32_k64_n32-12,255855,2354,272,4
candidate1,2,5,measured,baseline,BenchmarkGemmAMXGeneration/m64_k64_n64-12,95118,6637,272,4
candidate1,2,5,measured,baseline,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9238,62043,273,4
candidate1,2,5,measured,baseline,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,630,941149,275,4
candidate1,2,5,measured,baseline,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5160536,292,4
candidate1,2,5,measured,candidate,BenchmarkGemmAMXGeneration/m32_k64_n32-12,257533,2354,288,4
candidate1,2,5,measured,candidate,BenchmarkGemmAMXGeneration/m64_k64_n64-12,93314,6540,288,4
candidate1,2,5,measured,candidate,BenchmarkGemmAMXGeneration/m256_k256_n256-12,8439,71562,288,4
candidate1,2,5,measured,candidate,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,536,1151313,291,4
candidate1,2,5,measured,candidate,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,6265817,309,4
candidate1,2,6,measured,candidate,BenchmarkGemmAMXGeneration/m32_k64_n32-12,253887,2367,288,4
candidate1,2,6,measured,candidate,BenchmarkGemmAMXGeneration/m64_k64_n64-12,79268,7573,288,4
candidate1,2,6,measured,candidate,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9109,64146,289,4
candidate1,2,6,measured,candidate,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,626,942398,291,4
candidate1,2,6,measured,candidate,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,126,4974774,304,4
candidate1,2,6,measured,baseline,BenchmarkGemmAMXGeneration/m32_k64_n32-12,258532,2328,272,4
candidate1,2,6,measured,baseline,BenchmarkGemmAMXGeneration/m64_k64_n64-12,95866,6519,272,4
candidate1,2,6,measured,baseline,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9718,59924,273,4
candidate1,2,6,measured,baseline,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,636,955306,275,4
candidate1,2,6,measured,baseline,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,111,5028277,290,4
candidate1,2,7,measured,baseline,BenchmarkGemmAMXGeneration/m32_k64_n32-12,262670,2317,272,4
candidate1,2,7,measured,baseline,BenchmarkGemmAMXGeneration/m64_k64_n64-12,96746,6349,272,4
candidate1,2,7,measured,baseline,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9777,60153,273,4
candidate1,2,7,measured,baseline,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,627,946064,275,4
candidate1,2,7,measured,baseline,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5270127,291,4
candidate1,2,7,measured,candidate,BenchmarkGemmAMXGeneration/m32_k64_n32-12,254464,2332,288,4
candidate1,2,7,measured,candidate,BenchmarkGemmAMXGeneration/m64_k64_n64-12,97381,6340,288,4
candidate1,2,7,measured,candidate,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9618,63196,289,4
candidate1,2,7,measured,candidate,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,565,1012772,300,4
candidate1,2,7,measured,candidate,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5462385,308,4
candidate1,3,0,warmup,baseline,BenchmarkGemmAMXGeneration/m32_k64_n32-12,263451,2284,272,4
candidate1,3,0,warmup,baseline,BenchmarkGemmAMXGeneration/m64_k64_n64-12,95656,6991,272,4
candidate1,3,0,warmup,baseline,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9344,66236,273,4
candidate1,3,0,warmup,baseline,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,541,1034292,285,4
candidate1,3,0,warmup,baseline,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,6493908,292,4
candidate1,3,0,warmup,candidate,BenchmarkGemmAMXGeneration/m32_k64_n32-12,248403,2341,288,4
candidate1,3,0,warmup,candidate,BenchmarkGemmAMXGeneration/m64_k64_n64-12,91878,6498,288,4
candidate1,3,0,warmup,candidate,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9490,61020,289,4
candidate1,3,0,warmup,candidate,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,634,942306,299,4
candidate1,3,0,warmup,candidate,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5098740,308,4
candidate1,3,1,measured,candidate,BenchmarkGemmAMXGeneration/m32_k64_n32-12,257517,2330,288,4
candidate1,3,1,measured,candidate,BenchmarkGemmAMXGeneration/m64_k64_n64-12,96674,6447,288,4
candidate1,3,1,measured,candidate,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9690,60373,288,4
candidate1,3,1,measured,candidate,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,592,974239,300,4
candidate1,3,1,measured,candidate,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,124,5274284,304,4
candidate1,3,1,measured,baseline,BenchmarkGemmAMXGeneration/m32_k64_n32-12,257521,2328,272,4
candidate1,3,1,measured,baseline,BenchmarkGemmAMXGeneration/m64_k64_n64-12,96183,6331,272,4
candidate1,3,1,measured,baseline,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9865,61922,273,4
candidate1,3,1,measured,baseline,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,628,968097,275,4
candidate1,3,1,measured,baseline,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5587665,291,4
candidate1,3,2,measured,baseline,BenchmarkGemmAMXGeneration/m32_k64_n32-12,251497,2346,272,4
candidate1,3,2,measured,baseline,BenchmarkGemmAMXGeneration/m64_k64_n64-12,95682,6507,272,4
candidate1,3,2,measured,baseline,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9747,61549,273,4
candidate1,3,2,measured,baseline,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,615,983852,283,4
